,date,clear,soil,fog,rain,wind,sleet,snow,score
22,2024-02-28 04,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
23,2024-02-28 05,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
0,2024-02-27 06,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
1,2024-02-27 07,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
2,2024-02-27 08,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
3,2024-02-27 09,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
4,2024-02-27 10,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
5,2024-02-27 11,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
6,2024-02-27 12,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
7,2024-02-27 13,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
8,2024-02-27 14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,863.0636840000001
9,2024-02-27 15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,863.0636840000001
10,2024-02-27 16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
11,2024-02-27 17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
12,2024-02-27 18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
13,2024-02-27 19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
14,2024-02-27 20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
15,2024-02-27 21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
16,2024-02-27 22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
17,2024-02-27 23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
18,2024-02-28 00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
19,2024-02-28 01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
20,2024-02-28 02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,863.0636840000001
21,2024-02-28 03,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
22,2024-02-28 04,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
23,2024-02-28 05,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
0,2024-02-27 06,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
1,2024-02-27 07,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
2,2024-02-27 08,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
3,2024-02-27 09,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
4,2024-02-27 10,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
5,2024-02-27 11,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
6,2024-02-27 12,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
7,2024-02-27 13,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
8,2024-02-27 14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,863.0636840000001
9,2024-02-27 15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,863.0636840000001
10,2024-02-27 16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
11,2024-02-27 17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
12,2024-02-27 18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
13,2024-02-27 19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
14,2024-02-27 20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
15,2024-02-27 21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
16,2024-02-27 22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
17,2024-02-27 23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
18,2024-02-28 00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
19,2024-02-28 01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
20,2024-02-28 02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,863.0636840000001
21,2024-02-28 03,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
22,2024-02-28 04,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
23,2024-02-28 05,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
0,2024-02-27 06,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
1,2024-02-27 07,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
2,2024-02-27 08,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
3,2024-02-27 09,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
4,2024-02-27 10,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
5,2024-02-27 11,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
6,2024-02-27 12,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
7,2024-02-27 13,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
8,2024-02-27 14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,863.0636840000001
9,2024-02-27 15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,863.0636840000001
10,2024-02-27 16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
11,2024-02-27 17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
12,2024-02-27 18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
13,2024-02-27 19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
14,2024-02-27 20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
15,2024-02-27 21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
16,2024-02-27 22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
17,2024-02-27 23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
18,2024-02-28 00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
19,2024-02-28 01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
20,2024-02-28 02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,863.0636840000001
21,2024-02-28 03,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
22,2024-02-28 04,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
23,2024-02-28 05,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
0,2024-02-27 06,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
1,2024-02-27 07,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
2,2024-02-27 08,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
3,2024-02-27 09,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
4,2024-02-27 10,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
5,2024-02-27 11,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
6,2024-02-27 12,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
7,2024-02-27 13,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
8,2024-02-27 14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,863.0636840000001
9,2024-02-27 15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,863.0636840000001
10,2024-02-27 16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
11,2024-02-27 17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
12,2024-02-27 18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
13,2024-02-27 19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
14,2024-02-27 20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
15,2024-02-27 21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
16,2024-02-27 22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
17,2024-02-27 23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
18,2024-02-28 00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
19,2024-02-28 01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
20,2024-02-28 02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,863.0636840000001
21,2024-02-28 03,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
22,2024-02-28 04,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
23,2024-02-28 05,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
0,2024-02-27 06,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
1,2024-02-27 07,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
2,2024-02-27 08,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
3,2024-02-27 09,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
4,2024-02-27 10,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
5,2024-02-27 11,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
6,2024-02-27 12,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
7,2024-02-27 13,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
8,2024-02-27 14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,863.0636840000001
9,2024-02-27 15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,863.0636840000001
10,2024-02-27 16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
11,2024-02-27 17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
12,2024-02-27 18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
13,2024-02-27 19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
14,2024-02-27 20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
15,2024-02-27 21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
16,2024-02-27 22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
17,2024-02-27 23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
18,2024-02-28 00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
19,2024-02-28 01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
20,2024-02-28 02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,863.0636840000001
21,2024-02-28 03,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
22,2024-02-28 04,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
23,2024-02-28 05,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
0,2024-02-27 06,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
1,2024-02-27 07,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
2,2024-02-27 08,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
3,2024-02-27 09,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
4,2024-02-27 10,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
5,2024-02-27 11,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
6,2024-02-27 12,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
7,2024-02-27 13,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
8,2024-02-27 14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,863.0636840000001
9,2024-02-27 15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,863.0636840000001
10,2024-02-27 16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
11,2024-02-27 17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
12,2024-02-27 18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
13,2024-02-27 19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
14,2024-02-27 20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
15,2024-02-27 21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
16,2024-02-27 22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
17,2024-02-27 23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
18,2024-02-28 00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
19,2024-02-28 01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
20,2024-02-28 02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,863.0636840000001
21,2024-02-28 03,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
22,2024-02-28 04,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
23,2024-02-28 05,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
0,2024-02-27 06,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
1,2024-02-27 07,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
2,2024-02-27 08,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
3,2024-02-27 09,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
4,2024-02-27 10,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
5,2024-02-27 11,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
6,2024-02-27 12,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
7,2024-02-27 13,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
8,2024-02-27 14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,863.0636840000001
9,2024-02-27 15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,863.0636840000001
10,2024-02-27 16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
11,2024-02-27 17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
12,2024-02-27 18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
13,2024-02-27 19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
14,2024-02-27 20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
15,2024-02-27 21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
16,2024-02-27 22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
17,2024-02-27 23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
18,2024-02-28 00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
19,2024-02-28 01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
20,2024-02-28 02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,863.0636840000001
21,2024-02-28 03,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
22,2024-02-28 04,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
23,2024-02-28 05,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
0,2024-02-27 06,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
1,2024-02-27 07,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
2,2024-02-27 08,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
3,2024-02-27 09,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
4,2024-02-27 10,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
5,2024-02-27 11,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
6,2024-02-27 12,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
7,2024-02-27 13,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
8,2024-02-27 14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,863.0636840000001
9,2024-02-27 15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,863.0636840000001
10,2024-02-27 16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
11,2024-02-27 17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
12,2024-02-27 18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
13,2024-02-27 19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
14,2024-02-27 20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
15,2024-02-27 21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
16,2024-02-27 22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
17,2024-02-27 23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
18,2024-02-28 00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
19,2024-02-28 01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
20,2024-02-28 02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,863.0636840000001
21,2024-02-28 03,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
22,2024-02-28 04,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
23,2024-02-28 05,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
0,2024-02-27 06,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
1,2024-02-27 07,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
2,2024-02-27 08,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
3,2024-02-27 09,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
4,2024-02-27 10,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
5,2024-02-27 11,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
6,2024-02-27 12,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
7,2024-02-27 13,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
8,2024-02-27 14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,863.0636840000001
9,2024-02-27 15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,863.0636840000001
10,2024-02-27 16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
11,2024-02-27 17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
12,2024-02-27 18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
13,2024-02-27 19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
14,2024-02-27 20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
15,2024-02-27 21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
16,2024-02-27 22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
17,2024-02-27 23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
18,2024-02-28 00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
19,2024-02-28 01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
20,2024-02-28 02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,863.0636840000001
21,2024-02-28 03,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
22,2024-02-28 04,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
23,2024-02-28 05,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
0,2024-02-27 06,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
1,2024-02-27 07,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
2,2024-02-27 08,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
3,2024-02-27 09,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
4,2024-02-27 10,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
5,2024-02-27 11,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
6,2024-02-27 12,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
7,2024-02-27 13,0.0,0.0,1.0,0.0,1.0,0.0,0.0,863.0636840000001
8,2024-02-27 14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,863.0636840000001
9,2024-02-27 15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,863.0636840000001
10,2024-02-27 16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
11,2024-02-27 17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
12,2024-02-27 18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
13,2024-02-27 19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
14,2024-02-27 20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
15,2024-02-27 21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
16,2024-02-27 22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
17,2024-02-27 23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
18,2024-02-28 00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,700.0
